text,label
"People vote with their wallets. #ReOpenAmerica & STOP VOTING DEMOCRAT, STUPID. This #Panicdemic is ALL their doing to destroy America's & the world's economies and take down President @realDonaldTrump & YOU with it. #reopenamericanow https://t.co/iY1JK4n1JF.",pro
@aashsh2332 ??? ?????? ????? ????? ????? ???????? ??????? ??????? ???????? #?????_????? #???????_????? #CoronavirusLockdown #Hantavirus #21daysLockdown #ReopenAmerica #CurfewInIndia.,pro
@JoyAnnReid Millions of other Americans and myself have railed against the lockdown order and we're fine. #reopenamerica.,pro
"@SenatorLoeffler @realDonaldTrump Trump rally first! Til he puts himself and his base on the line, he doesn't think America should reopen. He just wants to use us a lab rats. #reopenamerica.",pro
#firefauci #reopenamerica #OPENAMERICANOW #COVID?19.,pro
. . prilaga #atlantahairstyles #atlantahairstylist #atl #reopenamericachallenge #atlantahairstylists #reopenamerica #atlanta #atlantic #atlantabarbershops #atlanticocean #prilaga #reopenamericasafely� https://t.co/inQ3JNYPAS.,pro
"Today Trump announced his plans to #ReopenAmerica and the #DowJones is up by 10% already. Criticize him all you want, but he knows how to rally the markets positively.",pro
@JeffMcKinney15 @TPCarney @brithume @reopenmaryland @GovLarryHogan We're on our way! #reopenmaryland #reopenamerica #operationgridlock https://t.co/brSS0dnhDN.,pro
"#America It's time to get a mask, wash your hands, pull up your big kid's pants and get back to work. We have an economy to rebuild and we can't spend another day being chickenshit about it. #coronavirus #fraud #ccpvirus #reopenamerica.",pro
"#MayDay We're taking it back! It's a Pro-Commerce Event where people exercise their right to provide for families, peacefully assemble and pursue happiness. Open your businesses! #reopennc #reopenamerica #reopenus #civildisobedience https://t.co/bJ28ryb05j.",pro
#reopenamerica.,pro
#coronaviruslockdown #hantavirus #21dayslockdown #curfewinindia #reopenamerica #lockdownindia #.,pro
"@honor_dennis Agreed. At best, it is inherently unfair that some businesses get to make money hand-over-fist while millions of others go Tango-Uniform. #reopenamerica #shutdowntheshutdown.",pro
"RT @JamesSNYC: @IngrahamAngle Since you want to #ReopenAmerica ,when are you and the @FoxNews team going to start broadcasting together in�.",pro
URGENT! Full disclosure from 'INSIDE' | Dr. Rashid buttar https://t.co/XtSRZF4tiG via @youtube #reopenamerica #covidpanicisahoax.,pro
"And the sanity just keeps seeping in... only ones immune are, well, the ones making decisions for us and not with us. #reopenamerica https://t.co/kIwsOJ7iCL.",pro
".@realdonaldtrump please! Mr. President. Your supporters need you! Plan an #Easter rally! Make it the biggest one you've ever had! We will stand RIGHT beside you, not 6 feet! Resurrect America! #KAG #MAGA #americanresurrection #reopenamerica #foxnewstownhall #trump.",pro
"@ConservaMomUSA @hankentwhistle Instead of #ReopenAmerica protests Just Do It reopen #ReopenArizona everyone get back to work just open your business's Walmart, Walgreens, Target, we can take personal responsibility follow Cold and Flu Season etiquette ..",pro
"Pretty sad when a random commenter online has to remind everyone of the science and strategy explained *a few weeks ago*, and spell things out - again - for the entire media industry and their blue check lemmings. Everyone has gone insane. #reopenamerica.",pro
Three of abba Kyari's staff reportedly test positive for COVID-19 https://t.co/23JttMPL9l #reopenamerica #hantavirus #21daysLockdown #notdying4wallstreet #isolateMorrissey #COVIDIDIOTS #tuesdayvibes.,pro
"@alexmorash #reopenamerica #DNC impeached Trump for what? Alleged ""Quid Pro Quo"" - withholding vital lifesaving $AID to Ukraine if he didn't get what he supposedly wanted? What's Nancy doing? Withholding vital, lifesaving #AID till DNC gets globalist item",pro
Worldwide statistics show that the #WuhanCoronaVirus will infect 80% of any population,pro
Yesterday was the first day in the last month where the number of NEW cases of COVID-19 wasn't more than the previous day. The number of new deaths is still rising. It is not quite time to #ReopenAmerica that is just #TrumpMadness https://t.co/HJBKXs586i https://t.co/Ohum3KJBG1.,pro
#ReopenAmerica #reopenfl #Americans #florida @GovRonDeSantis https://t.co/qgZeqa13q2.,pro
"RT @michaeljohns: The #ReopenAmerica rallies need a refined and careful message. ""They should be very specific about what liberalization�.",pro
"@Doitwell01 @GovernorVA More likely to go bankrupt than be safe. https://t.co/tEQBHUxDfn But I guess that's what happens when you trade liberty for false security.... you deserve neither, and eventually lose both. #ReopenAmerica #ReopenVirginia.",pro
"The shutdown is a socialists dream they can ban work, guns, FREE SPEECH!? This is why we have Trump God has made him the HAMMER! First to expose how far America has fallen... 2nd TO BREAK DOWN & DESTROY the political ruling class from these 50 states #ReopenAmerica #trump2020.",pro
"@elonmusk Maybe you should move all your projects/businesses out of states/cities that are still choosing to extend the lockdown? Otherwise, why should they care? #enoughisenough #reopenamerica #reopenmo #reopenstl #COVID19 #economicintercourse https://t.",pro
@realDonaldTrump Miserable ole #Trump is just having a tantrum since he didn't get his #GOPSlushFund yesterday so he wants to #ReopenAmerica to punish us w/death threats #DieForTheDow #GeneralStrike #COVID19 #COVIDIDIOTS #GOPBailoutScam #TrumptheWorstPres,pro
The latest the keith W. boone daily! https://t.co/oFuXEopO0E thanks to @mightycasey @ishanig #reopenamerica #tuberculosis.,pro
"@seanhannity @AlexBerenson @BoSnerdley @BreitbartNews @greggutfeld @TeaParty_911 @TPPatriots We don't know how mani #COVID?19 infected or MR, but WE DO know how many hurt by #shutdown & 300M lose liberties #ReopenAmerica https://t.co/SwYBimylyh.",pro
"@Walmart #mepolitics @GovJanetMills Falmouth Maine, elderly couple tried to purchase 2 pkgs of english muffins, cashier said the limit is 1 & removed the 2nd pkg from the belt. Thought the limit was 2?? This is getting pathetic. #reopenamerica #reopenmain",pro
@missionisgreat @california_save You got a love @realDonaldTrump he calls out bull$hit when he hears it! #cnnfakenews #CNNISFAKENEWS #cnnsucks #fakenewsmedia #fakenews #fakepandemic #coronavirus #MAGA2020 #KAG2020 #trump2020 #reopenamerica #trump2020lands,pro
Precedent. #ReOpenAmerica #reopenMD.,pro
"#The100 on @netflix is a surprisingly phenomenal series. It also really makes today's humanity look very pathetic by willingly complying to ""shelter-in-place"" orders for a virus that kills only about 1/5000, mostly elderly individuals. #covid19 #reopenamerica https://t.co/HKZoY0Tpd4.",pro
So that's why he wants everyone back to work! #dieforthedow #reopenamerica.,pro
#reopenamerica.,pro
"RT @michaeljohns: The #ReopenAmerica rallies need a refined and careful message. ""They should be very specific about what liberalization�.",pro
Now tell me once again #Coronavirus obedient ones why we're in house arrest prison and the criminals are not? What a scam. #reopenamerica.,pro
this is what happens when petty tyrants are given authority. #reopenamerica #coronaviruspandemic #endtheshutdown https://t.co/IxnJnZGUiz.,pro
#ReopenAmerica Cure is worse than disease. #AntifaTerrorists this is real #Fascism. You have opposed #Freedom. #liberateillinois #recalljb ?@jbpritzker is a #tyrant ? #standup2bullies #dumpdurbin ?@electmarkcurran? ?@darrenbaileyil? https://t.co/7TitNyTtDi.,pro
"@TPUSA @txfreedomcaucus @freedomworks @watchchad @J_wade_miller @rmconservative @empowertexans @truetxproject ""If this tired old planet is to be healed, it will be the old-fashioned way, one by one, with each of us finding the best within us."" #reopenamer",pro
@GovStitt @GregAbbott_TX @GovernorKayIvey @realDonaldTrump it's time to stop tossing money at this and #ReopenAmerica.,pro
"I dont matter to Media but I want 2 say what a GREAT job VP Mike Pence's doing@#CoronaVirus-#TownHall explaining DIFFICULT measures,facts & policy regarding #ReopenAmerica,Trump's 15day shutdown/#StayAtHomeOrder;Even Cuomo agrees;Sad,#NancyChokesWhilePeopleGoBroke eg #HPLoveCraft.",pro
#God #Jesus #Covid19 #FireFauci #BillGates #CoronaVirus #KAG #ID2020 #Vaccines #RFID #AI #IoT #5G #NWO #Tyranny MUST SEE Compilation #ReOpenAmerica #Protests Surge! https://t.co/LnKywTM2gz WORLD IS #GreatAwakening TO YOUR #PLANDEMICS TO DESTROY #HUMANITY https://t.co/5fAVqtXXqN.,pro
@NursingNotesUK @PaulPaul49 #Lockdown = ACT OF WAR AGAINST PEOPLE #HumanityIsNotAVirus #covid19= SCAM KILLING with #5G -REALITY https://t.co/Nml25DSGDH #reopening #reopenamerica #reopenworld.,pro
What happened to the threats of closing permanently or fines or jail? @govmurphy @nygovcuomo @nycmayor Seems inconsistent (AGAIN) #reopenamerica.,pro
"Today in ""we fucking told you so""... #COVID19 #reopenamerica #coronavirus #lockdownhustle.",pro
I think there are very high odds that Dictator Whitmer has been spreading porkies about her right to breach the Constitution and the Bill of Rights in order to enslave the people of her state. Spreading freedom is what the protesters were doing. #scamdemic #reopenamerica.,pro
"Give it a few weeks, and then maybe #ReopenAmerica. The Wallstreet banksters, and their puppets in Congress, can go to hell.",pro
"@realDonaldTrump is absolutely correct, as usual. #americafirst #america #democratsaredestroyingamerica #democratstheenemywithin #KAGA2020 #MAGA2020 #trump2020 #truthbetold #facts #truthbetold #WWG1WGA #women #womenintech #factsmatter #illinois #reopename",pro
and #ReopenAmerica. #ampFW.,pro
@realmattcouch #reopenamerica https://t.co/1FttdBUidf.,pro
"RT @JasonRobergeVA: NEW YORK STATE RALLY Tomorrow, April 16, noon State Capitol in Albany, NY #reopenamerica #reopennys RT and tag your�.",pro
#Bravo #NewYork @BilldeBlasio @NYGovCuomo @MeghanMcCain @Andy @ChrisCuomo @sunny @JoyVBehar @DebraMessing @AlecBaldwin @BetteMidler @WhoopiGoldberg #Hitler #chinesecoronavirus #Trump2020 #votedemsout #VoteRedToSaveAmerica #KeepAmericaGreat #ReopenAmerica https://t.co/5C4rgZJMlq.,pro
#reopenamerica #reopenamericanow.,pro
@shanghaidaily #firefauci #reopenamerica.,pro
"Manufacturing has declined in the month of March, reported today by the Federal Reserve. Total industrial production fell 5.4%, and manufacturing output fell 6.3%. The largest decline was in motor vehicles and parts manufacturing. #economics #COVID19 #pandemic #reopenamerica.",pro
"Look what @realDonaldTrump has done in 3+ years in office Vs The theft of our tax dollars , corruption #PayToPlay, and filth homelessness and #illegalimmigration delivered by these politicians. #americafirst #lawday #reopenamerica https://t.co/g1JrNFmgf1.",pro
#openupamerica #mayday #takeourcountryback #reopenamerica.,pro
"@BrandonStraka ?? Love from #NoLockdownSweden Become #UNSILENT #WalkAway #ReopenAmerica #WWG1WGA VIDEO interview with Professor Johan Giesecke, one of the world's most senior epidemiologists and advisor to the Swedish Government. Why lockdowns are the wro",pro
"Replying to @realDonaldTrump Your stupidity will cause the needless death of MILLIONS, all because your hotels are losing money. You, and the rest of the #COVIDIDIOTS who want to #ReopenAmerica too soon ARE THE PROBLEM that is worse than the ""cure.""",pro
Thank goodness these dangerous home business entrepreneurs are off the streets!!! #CivilDisobedience #ReopenAmerica.,pro
"Now it's May?! Call me crazy, but it almost seems the government is shrugging off accountability when it comes to the math & sources they used when deciding to implement a one size fits all lockdown that's decimating families and small businesses. #ReOpenMN #ReopenAmerica.",pro
#Austin is partially reopening today! Texas baby! Heading out the door right now to go support some small-businesses... Stop the insanity and #ReopenAmerica now! https://t.co/OohLI5fqbP.,pro
@sun_Q_tzu @POTUS ditto! Let's get this done! #reopenamerica #americafirst.,pro
"@timetowakeupsw1 ( #pedos #cannibals in power = NONESSENTIAL ITEMS), #Lockdown =ACT OF WAR AGAINST PEOPLE #humanityisnotavirus #covid19= SCAM KILLING with #5G -REALITY https://t.co/Nml25DSGDH #reopening #reopenamerica #reopenworld.",pro
RT @GregMusselwhit3: We need politicians that will put #AmericaFirst. We can #ReopenAmerica responsibly and protect our vulnerable. More�.,pro
WHO WILL BE THE WORST SUFFERER AFTER #coronavirus HAVOC GETS OVER ? #hantavirus #coronaviruslockdown #coronavirusindia #covid19india #completelockdown #corona #21dayslockdown #21daylockdown #covid19outbreak #corona #chinaliedpeopledied #reopenamerica #USA #china #italy.,pro
"FREEDOM RALLY! Come stand with us tomorrow at 1PM in San Diego. #ReOpenCA #TimeToOpen @ReopenCa #ReopenAmerica #ReopenAmericaNow #ReOpenCalifornia If you are on Facebook, join the groups Reopen California. Similar Groups have formed for other states. https://t.co/7w5bPivtvM https://t.co/vvfds4LuB0.",pro
"New Podcast! ""Ep: 3: Rally in Texas! Guest: David Whilden"" on @Spreaker #endtheshutdown #reopen #reopenamerica #reopentexas #texas https://t.co/L7wYLj55gU.",pro
@WBTV_News Absolutely but luckily we live on the TN/NC so we will be spending our money in TN and helping their economy. If WALMART can be open why can't every store if they follow the same guidelines. #reopenamerica #reopennc.,pro
"@realDonaldTrump I hope @SecretService is watching, very closely, those moron #FakeNews #EnemyOfThePeople dotards. Thank you, #BestPresidentEver. #WRWY #reopenamerica.",pro
@JenPal4U Going to the walmart! #reopenamerica.,pro
"Nobody should die because a rich person will, god forbid, be less rich if people stay safe at home. If boomers want to kill themselves so badly, a gun and a bullet to the head would be much faster. #reopenamerica #boomerremover.",pro
So now essential workers are standing in lines outside Home Depot & Walmart on the little time they have available? #reopenamerica.,pro
YOU go girl! is right! Hallelujah! #reopenamerica.,pro
"@nowisaythis @mugzypayton @ihaygood @raleighpolice With half that data that might sound bad but remember. 8,052 positive/100,584 tested. .08 of people test positive. 269/8052 = .03. Asymptotic people only drive that death down. Protect the act risk people",pro
Q: WHY is a mom & pop grocery shop less 'essential' than Walmart and therefore must remain closed? A: It's NOT! #opentheeconomy #reopenamerica.,pro
. @FreedomWorks #Reopennc #reopenamerica https://t.co/scvZKY80Oe.,pro
You cannot shutdown the economic engine of the world for months based on questionable models and fear! The American people will not tolerate an open-ended halt to their lives. #reopennh #reopenamerica.,pro
"Per the CDC as of April 18th Total cases: 690,741 (1,282 are probable) Total deaths: 35,443 (4,226 are probable) #covid_19 #stayhome #coronalockdown #coronacrisis #coronavirusupdate #coronavirus #COVID #COVID19 #quarantine #reopenamerica #trump2020 https://t.co/a7E6Re1VNw.",pro
#reopenamerica.,pro
"@PaulVandenburgh Paul he said ""I gave it two weeks"" then caught himself, next Monday...... It's OVER! #ReOpenAmerica! #AmericaFirst! Gonna be a great #Easter!",pro
99.99% survival rate for healthy people under 50. Even in NYC. Now get your boot off my neck. @cagov @gavinnewsom #COVID19 #coronavirus #thursdaythoughts #endtheshutdown #reopenamerica.,pro
BILL GATES IS FINISHED | WHO | Mass Vaccinations https://t.co/P324JLJnuy via @YouTube @BillGates @TheEllenShow @MSNBC @CNN @FoxNews @ABC @NBCNews @CBS @NYTimes @washingtonpost #ReOpenAmerica #TheGreatAwakening #Pizzagate #Rapists @HarveyWeinstein #Pedophile.,pro
"SORRY New Yorkers, McKinsey said its time to go die for Capitalism. https://t.co/xxscdgUAUA #Cuomo #ReopenAmerica = Genocide of Labor for the 1%'s treasure.",pro
"HAPPENING NOW!!! Reopen our country! Carson city, Nevada #reopennevada #WWG1WGA #nevada #sisolak #inittogether #qanon #recallsisolak #protestlockdown #operationnevada #wethepeople #reopenamerica @michaelbeatty3 @seancordicon @savannahfairfi1 @agstatestacker @gideonsarmy3001 https://t.co/CayN8Qefa4.",pro
Thinking of #OperationGridlock as they get ready to protest to #ReopenMI. Best of luck from #ReopenNC you guys are true patriots today. #constitutionovercoronavirus #reopenamerica.,pro
#stock market rebounds when #Covid_19 cases grow by less than expected. Worried about the market & economy? Don't rush to #ReopenAmerica. Control the outbreak. (test. Test. Test. Trace. Isolate. Treat.) Thanks @cepr_org vetting #COVID19 #EconTwitter research so quickly.,pro
@funder PROTESTS BEING REMOVED FROM YOUTUBE!! Freedom of speech! This is AMERICA and #MichiganProtest is where we should STAND TOGETHER for our constitutional rights!! More of US than THEM! Let's fight! #reopenamerica #operationgridlock https://t.co/hWQFy,pro
Then why are you apart of a government party that absolutely loves and lives by big government that will always fail? #americafirst #reopenamerica #america #coronavirususa #killcovid19.,pro
Lots of patriots demonstrating to #ReopenVirginia today. I was at the #LiberateMinnesota rally last week w/the big red #LewisForMN RV. Fighting #COVID__19 & gradually reopening are NOT binary choices! Our economic security/individual liberty are at stake. Time to #ReopenAmerica https://t.co/tNjaNbe7Kj.,pro
#ReopenAmerica is a George Soros scheme to kill off Republican voters. Pass it on!,pro
Many States moving to SAFELY & QUICKLY reopen! #ReOpenAMERICA https://t.co/BqatS3IGxr.,pro
"If we'll ""only"" have 1 to 2% of people die if we #ReopenAmerica as @realDonaldTrump wants that would be 3.3 to 6.6 million #Americans dead. 6,600,000 dead humans. #holocaust #coronaviruspandemic #MAGA #COVID19 #election2020 @GOP @thedemocrats @joebiden @CNN @nytimes @kenolin1.",pro
The plot thickens!! #BillGatesIsNotOurFriend why would lockdown continue when the virus is declining. Oh!! Bill Gates wants everyone contained until he gets mandatory vaccines! Coercion!! @realdonaldtrump #plandemic #reopenamerica @govinslee.,pro
@CBS_herridge @cbsnews AWESOME #reopenamerica.,pro
@AP New York is going to take the brunt of this health issue. There are many middle class families in New York that make over $200k per year. So we will be crushed medically and the have to bail out the rest of the country economically! Is this a joke? #r,pro
need to print how many deaths from flu too !!! flu season is still a problem @CDCemergency @CDCgov #complications @Lrihendry @WhiteHouse @CDC_eHealth @BlueCrossNC @truthsearch1957 @EmpirePlan @UHC @KZPetro #ReopenAmerica @AP @Reuters.,pro
"It is striking to hear #PresidentCuomo say ""we are hunting positives"" so they can be isolated and we can reduce the spread. Then in contrast Trump is like #ReopenAmerica. #trumpdemic #trumpistheworstpresidentever.",pro
@sheryMuslima1 @realDonaldTrump @POTUS @whitehouse @CIA @NSAGov no one can do that but pentagon israel saudi emirates Coptic egypt ll all benefit from usd fail #COVID19 is a lie WHY They r targetting me #ReopenAmerica.,pro
"@RealMattCouch Fauci is a liar and a fraud. The lockdowns should be ended IMMEDIATELY. Not only are they illegal and unconstitutional, THEY DON'T EVEN WORK. https://t.co/pkeARLMC9q #endthelockdown #EndTheShutdown #LiberateAmerica #ReopenAmerica.",pro
While there is a unconstitutional checkpoint coming into #Florida on #95S Why is it @GovRonDeSantis that American citizens must be singled out. If only you had fortitude like @BrianKempGA in #Georgia #ReopenAmerica #GreatAwakening #ConstitutionOverCoronavirus.,pro
WHICH COUNTRY HAS HANDLED #coronavirus THE WORST ? #hantavirus #coronaviruslockdown #coronavirusindia #covid19india #completelockdown #corona #COVIDIDIOTS #covid19outbreak #corona #chinaliedpeopledied #reopenamerica #USA #US #china #tsunami #covid19outbreak.,pro
@jasserravalle Show the proof that keeping healthy people in lock-down is necessary or helpful? #openupamerica #mayday #reopenamerica #povertykills. https://t.co/QWqh8qvXeE.,pro
#coronaviruspandemic #reopenamerica.,pro
"RT PublicFreedom ""RT PublicFreedom: Reopen Virginia Rally in Richmond. Shutdown Northam! #reopenamerica #reopenvirginia #coronavirustruth https://t.co/PfmMhVtWEF"".",pro
"#coronavirus is so smart, it attacks people who patronize small businesses, they must stay closed, but you can still go to Walmart. Safe there, they closed all the exits but one, making people funnel together to try to get in and out. #wakeupamerica #reopenamerica #smallbusiness.",pro
#ReopenAmerica should be reopen shuttered hospitals. This shitbag won't let Philadelphia use Hahneman hospital for covid19 because he wants his profits https://t.co/treeuChW58.,pro
@governordear @sharg22763 @governorva #reopenamerica #reopenvirginia.,pro
@realdonaldtrump @lelandvittert @foxnews #reopenamerica.,pro
@NC_Governor Let businesses open with social distancing rules. They too can easily do what Walmart and the grocery stores are doing! #reopenamerica #reopennc.,pro
#icecreamnancy #delaynancy #nancypelosi Does just saying #lies give them validity? #Nancy we ALL know YOU delayed the #PayrollProtectionProgram for a month while #Trump and #Pence were working to #MAGA r #FridayFeeling #AmericaFirst #ReopenAmerica.,pro
This is the antithesis of Freedom. #openupamerica #mayday #takeourcountryback #reopenamerica #liberateamerica #liberatevirginia #vaccinesarenottheanswer #billgatesisnotourfriend #firefauci #defundwho.,pro
"No masks! @Delta @Menards @HomeDepot @SunCountryAir @SpiritAirlines @GovTimWalz Amazing to read, stop spreading insanity. #costco #nomasks #reopenamerica.",pro
"VIDEO: Radio host Alex Jones leads chants of ""Arrest Bill Gates"" at #ReopenAmerica protest in Austin, Texas. https://t.co/eNrz7W8sAS #reopenbritain #beijingbiden #beijingboris #huawei #COVID19 #pritipatel #day30oflockdown #lockdown #confinementjour40 #coronavirus.",pro
@dyro874 @realDonaldTrump No more stimulus bills we need to get back to work by Easter. We've been lied to about the #ChinaVirus none of the numbers add up it's been blown out of portion. #reopenamerica #letsgetbacktowork #americafirst.,pro
@POTUS @realDonaldTrump This is what @GovMurphy is spending his time doing instead of working to #ReopenNJ. #reopenamerica #voteredtosaveamerica #voteredtosavenj.,pro
"I'm concerned that any state that is reopening doesn't have a good plan in place & will have citizens that will not follow this plan. So, I made a PSA to capture this. #quarantine #sundayvibes #stayhome #stayhomesavelives #lockdown #COVID?19 #reopenamerica #coronavirus #play https://t.co/limZaMpBIT.",pro
"Yesterday, I was honoured to join fellow #patriots protesting the establishment of a #fascist #communist #policestate. #reopencalifornia #reopenamerica #coronavirus https://t.co/cz3nPulMfi.",pro
WHAT IS INEVITABLE AFTER #coronavirus HAVOC ? #hantavirus #coronaviruslockdown #coronavirusindia #covid19india #completelockdown #corona #21dayslockdown #21daylockdown #covid19outbreak #corona #chinaliedpeopledied #reopenamerica #USA #china #italiazonarossa #coronaviruspandemic.,pro
"@TiffanyDCross While trying to understand the changing message, It has occurred to me that mass casualties in largely democratic leaning states like New York, California, and Washington would not hurt Trump's chances of re-election. Just sayin. #Prioritie",pro
@markmeadows @seanhannity @breitbartnews @scottpresler @ingrahamangle @teaparty_911 @tppatriots #walkaway ONLY we the people can #reopenamerica. We have the #Constitution #CommonSense and #Science on our side. https://t.co/mkOIS7sKNj.,pro
"Hello. As we experience perilous and exciting times, we are seeing the uncovering of gross corruption, greed, negligence, incompetence and fraud. God said who can I send to carry out My will? I will LORD, I will! #reopenamerica #mayday #USA #openupamerica #america.",pro
#stubborn #idiotic #People #Americans #ReOpenAmerica? ? #StayHome #Quarantine #LockDown 50States UntilSafer! #COVID19 #NoCure & worse this Fall2020?! GiveMORE #StimulusChecks to #LowIncome #Families #Singles #Unemployed #Poor #TaxPayers! NOT #RichPeople #Celebs SeeThis? #WTF! https://t.co/TjfGZquEwh.,pro
#leadership #reopenamerica #texas.,pro
@jamesokeefeiii LIVE NOW Huge #michigan protest watch #REOPENAMERICA #operationgridlock One livestream is https://t.co/1JtsNVe0zz.,pro
"@RepDanCrenshaw The vuln ""at risk"" ppl will lose CV-19 unemployment & other benefits unless Governors man up & extend stay at home orders for only them. They will drive up hospitalization & vents forcing us all back into shutdowns. It's time for targeted ",pro
"@AJEnglish #Trump has little power to restart #US economy Tuesday, 14 april 2020 -@presstv https://t.co/y1NzJa9pzR????????? #wildwest #may1 #reopenamerica #coronavirus #outbreak #pandemic #lockdownextension #humanity #drfauci https://t.co/YVkAX058GA.",pro
Who else thinks this will #reopenMI? #ReopenAmerica #MichigandersAgainstExcessiveQuarantine #MichiganStrong #OperationGridlock #lansing #MAGA2020 #KAG2020.,pro
"Want to #ReopenAmerica Here's the ONLY plan that will not cost US 1000s of more deaths 1-#StayAtHome 2-Testing, Testing, Testing 3-treatment 4-contact tracing ALL 4 Then & only then can we can begin to resume some normality to our daily lives https://t.co/aNEBHhS2ZN.",pro
Yet PPL #stubborn #idiotic #selfish wants #reopenamerica? Who's Accountable? #deaths #coronavirus #covid19 over 1M? NOJOKE! #republicans #democrats #liberals #governors #senators #mayors #lockdown #quarantine 3-6mos IF needed! MORE #Stimulus = #POOR #LowIncome #TaxPayers NOT RICH! https://t.co/JTocgrpKoA.,pro
The stage of the US epidemic will help investors to know how long the epidemic will be in the end and the investments will be started before the end. #stockmarket #informationtechnology #bigdataanalytics #dowjones #restarttheeconomy #reopenamerica.,pro
#reopenamerica #backtoworknow.,pro
POLICE ARREST CONCEALED CARRY PERMIT HOLDER AT REOPEN AMERICA RALLY #policestate #maga #reopenamerica https://t.co/qsO0LL1MjO https://t.co/WyfGZcqsyo.,pro
Seriously considering moving to the state that open up first. #WuhanCoronaVirus #ReopenAmerica.,pro
@theeconomist #reopenamerica.,pro
. . prilaga #atlantahairstyles #atlantahairstylist #atl #reopenamericachallenge #atlantahairstylists #reopenamerica #atlanta #atlantic #atlantabarbershops #atlanticocean #prilaga #reopenamericasafely� https://t.co/2BGjxg2fn9.,pro
@howleyreporter LIVE NOW massive #michigan protest #operationgridlock #reopenamerica https://t.co/1JtsNVe0zz is One Livestream.,pro
RT @michellemalkin: I'm posting @allidoisowen ' s notice about the #reopenamerica rally tomorrow in Texas because he was banned yesterday f�.,pro
and #FauciFraud is there with her He's a Democrat! He's deep state #FireFauci and let's #ReopenAmerica for business!!!,pro
"RT @JasonRobergeVA: NEW YORK STATE RALLY Tomorrow, April 16, noon State Capitol in Albany, NY #reopenamerica #reopennys RT and tag your�.",pro
We've got some ideas about how to Save Main Street. #reopenamerica #smallbiz #smallbusiness #shoplocal #bailoutthepeoplenotcorporations #bailoutthepeople #buylocal https://t.co/oRuH6yYKix.,pro
"You know what I find hypocritical? When people argue not to reopen States. Really? States have been half open the whole time! If grocery stores, gas stations, fast foods, Walmart, Target & coffee shops were SAFE to stay open you're already half open! #reopenamerica.",pro
#Gates going into the spotlight in #MSM #gatesfoundation #coronavirus #vaccines #reopenamerica #civilliberties #MAGA #trump2020.,pro
#tsunami #coronavirus #hantavirus #21daylockdown #coronaviruslockdown #coronavirusindia #US #reopenamerica #COVID2019 #coronavirusoutbreak #COVID?19 #covid19outbreak.,pro
By #GilbertMercier author of #TheOrwellianEmpire DON'T #ReopenMaryland #ReopenAmerica for the benefit of #ProfitsOverPeople #WallStreet #banksters & #Corporate interests. #stayathome #trump #whitesupremacy #evangelicals #devossedition #alexjones #COVID19 #COVID?19.,pro
#reopenamerica.,pro
"Dear @POTUS! Enough is enough! There are many jobs which are inherently socially-distanced jobs, and can resume! #reopenamerica.",pro
